PlaceName			HIF-1α-OH	HIF-1α-PHD	PHD	HIF-1β	HIF-1αβ	HIF-1αβ-HRE	mRNA	HRE	H+_ext_(pH_ext)	CO2_ext	H2O_ext	HCO-3_ext	CA2	NBC	H+_int_(pH_int)	CO2	H2O	VHL	HIF1α-OH-VHL	OH_HIF1α_degraded	HIF-1αβ-PHD	HIF-1αβ-OH-HRE	HIF-1αβ-OH	CA9	normoxia	HIF-1α	O2_inverse	O2	hypoxia	CA9_degraded	
PlaceID			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
----------------
Step	Time	Fired transition(s)
103	10.221365348567858	oxygen_supply_out	2	0	49	48	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	7	1	0	0	0	1	48	22	28	0	0	
104	10.359052212182522	oxygen_supply_out	2	0	49	48	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	7	1	0	0	0	1	48	23	27	0	0	
105	10.409703617749477	HIF-1αβ_ass	2	0	49	47	2	0	0	50	0	1	1	0	1	1	0	0	0	49	1	7	1	0	0	0	1	47	23	27	0	0	
106	10.41726632578137	HIF-1αβ_ass	2	0	49	46	3	0	0	50	0	1	1	0	1	1	0	0	0	49	1	7	1	0	0	0	1	46	23	27	0	0	
107	10.48420940639476	HIF-1αβ-PHD_diss	2	0	50	46	4	0	0	50	0	1	1	0	1	1	0	0	0	49	1	7	0	0	0	0	1	46	23	27	0	0	
108	10.589285028197109	HIF1α-OH-VHL_degradation	2	0	50	46	4	0	0	50	0	1	1	0	1	1	0	0	0	50	0	8	0	0	0	0	1	46	23	27	0	0	
109	10.61935157928395	HIF-1αβ-PHD_ass	2	0	49	46	3	0	0	50	0	1	1	0	1	1	0	0	0	50	0	8	1	0	0	0	1	46	23	27	0	0	
110	10.633475259954764	HIF-1αβ_diss	2	0	49	47	2	0	0	50	0	1	1	0	1	1	0	0	0	50	0	8	1	0	0	0	1	47	23	27	0	0	
111	10.703968323717195	HIF1α-OH-VHL_ass	1	0	49	47	2	0	0	50	0	1	1	0	1	1	0	0	0	49	1	8	1	0	0	0	1	47	23	27	0	0	
112	10.721001369643176	HIF-1αβ-PHD_diss	1	0	50	47	3	0	0	50	0	1	1	0	1	1	0	0	0	49	1	8	0	0	0	0	1	47	23	27	0	0	
113	10.751568961823532	HIF-1αβ-PHD_ass	1	0	49	47	2	0	0	50	0	1	1	0	1	1	0	0	0	49	1	8	1	0	0	0	1	47	23	27	0	0	
114	10.842196306764633	HIF1α-OH-VHL_ass	0	0	49	47	2	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	1	0	0	0	1	47	23	27	0	0	
115	11.109328170845336	oxygenation_HIF-1αβ	0	0	50	47	2	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	0	0	1	0	1	47	23	27	0	0	
116	11.396457256565112	interface_HIF1α	0	0	50	47	2	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	0	0	1	0	1	48	23	27	0	0	
117	11.403594993047198	oxygen_supply_in	0	0	50	47	2	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	0	0	1	0	1	48	22	28	0	0	
118	11.430383228789223	interface_HIF1α	0	0	50	47	2	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	0	0	1	0	1	49	22	28	0	0	
119	11.465831918976514	HIF-1αβ-OH_diss	1	0	50	48	2	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	0	0	0	0	1	49	22	28	0	0	
120	11.510290667673114	HIF-1αβ_ass	1	0	50	47	3	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	0	0	0	0	1	48	22	28	0	0	
121	11.810582928304598	HIF1α-OH-VHL_ass	0	0	50	47	3	0	0	50	0	1	1	0	1	1	0	0	0	47	3	8	0	0	0	0	1	48	22	28	0	0	
122	11.820390396893218	oxygen_supply_out	0	0	50	47	3	0	0	50	0	1	1	0	1	1	0	0	0	47	3	8	0	0	0	0	1	48	23	27	0	0	
123	11.866849482641488	HIF1α-OH-VHL_diss	1	0	50	47	3	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	0	0	0	0	1	48	23	27	0	0	
124	11.91713109719395	HIF-1αβ_ass	1	0	50	46	4	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	0	0	0	0	1	47	23	27	0	0	
125	11.963929195964791	oxygen_supply_in	1	0	50	46	4	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	0	0	0	0	1	47	22	28	0	0	
126	12.225214035014625	interface_HIF1α	1	0	50	46	4	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	0	0	0	0	1	48	22	28	0	0	
127	12.2856097283662	HIF-1αβ_ass	1	0	50	45	5	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	0	0	0	0	1	47	22	28	0	0	
128	12.322806609926795	HIF-1αβ_diss	1	0	50	46	4	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	0	0	0	0	1	48	22	28	0	0	
129	12.337299503933426	HIF-1αβ-PHD_ass	1	0	49	46	3	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	1	0	0	0	1	48	22	28	0	0	
130	12.40844761860141	HIF-1αβ-PHD_ass	1	0	48	46	2	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	2	0	0	0	1	48	22	28	0	0	
131	12.420380000200906	HIF-1αβ_diss	1	0	48	47	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	8	2	0	0	0	1	49	22	28	0	0	
132	12.46668752184116	HIF1α-OH-VHL_degradation	1	0	48	47	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	9	2	0	0	0	1	49	22	28	0	0	
133	12.482247829306264	HIF-1α-PHD_ass	1	1	47	47	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	9	2	0	0	0	1	48	22	28	0	0	
134	12.517210925506975	HIF1α-OH-VHL_diss	2	1	47	47	1	0	0	50	0	1	1	0	1	1	0	0	0	50	0	9	2	0	0	0	1	48	22	28	0	0	
135	12.57073097592567	oxygenation_HIF-1α	3	0	48	47	1	0	0	50	0	1	1	0	1	1	0	0	0	50	0	9	2	0	0	0	1	48	22	28	0	0	
136	12.588596973805794	HIF-1αβ-PHD_diss	3	0	49	47	2	0	0	50	0	1	1	0	1	1	0	0	0	50	0	9	1	0	0	0	1	48	22	28	0	0	
137	12.629961428454035	interface_HIF1α	3	0	49	47	2	0	0	50	0	1	1	0	1	1	0	0	0	50	0	9	1	0	0	0	1	49	22	28	0	0	
138	12.705722335247598	HIF-1αβ-PHD_diss	3	0	50	47	3	0	0	50	0	1	1	0	1	1	0	0	0	50	0	9	0	0	0	0	1	49	22	28	0	0	
139	12.919926670452632	interface_HIF1α	3	0	50	47	3	0	0	50	0	1	1	0	1	1	0	0	0	50	0	9	0	0	0	0	1	50	22	28	0	0	
140	12.957546477610611	HIF-1αβ_ass	3	0	50	46	4	0	0	50	0	1	1	0	1	1	0	0	0	50	0	9	0	0	0	0	1	49	22	28	0	0	
141	13.01253967041256	HIF-1αβ_ass	3	0	50	45	5	0	0	50	0	1	1	0	1	1	0	0	0	50	0	9	0	0	0	0	1	48	22	28	0	0	
142	13.030582399736513	HIF-1αβ_ass	3	0	50	44	6	0	0	50	0	1	1	0	1	1	0	0	0	50	0	9	0	0	0	0	1	47	22	28	0	0	
143	13.047249795044378	oxygen_supply_in	3	0	50	44	6	0	0	50	0	1	1	0	1	1	0	0	0	50	0	9	0	0	0	0	1	47	21	29	0	0	
